DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK
"Fri, 29 Dec 2017 19:51:00 -0500",New Seasons Market Grab and Go,Macaroni and Cheese,Undeclared egg,New Seasons Market,https://www.fda.gov/Safety/Recalls/ucm590865.htm,
"Fri, 29 Dec 2017 00:00:00 -0500","Southern Home, Shur Fine, Valu Time, more",biscuits,Listeria monocytogenes,T. Marzetti Company,https://www.fda.gov/Safety/Recalls/ucm590976.htm,
"Thu, 28 Dec 2017 16:45:00 -0500",Daisy’s Bakery Inc.,Gourmet Concha,Undeclared Milk,Daisy’s Bakery Inc.,https://www.fda.gov/Safety/Recalls/ucm590799.htm,
"Wed, 27 Dec 2017 00:00:00 -0500","PharMEDium Services, LLC",Compounded injectables,Lack of Sterility Assurance,"PharMEDium Services, LLC",https://www.fda.gov/Safety/Recalls/ucm590941.htm,
"Fri, 22 Dec 2017 14:05:00 -0500","Fresh Pak, Michigan, and Aunt Mid’s",Packaged products containing apple slices,Listeria monocytogenes,Fresh Pak Inc.,https://www.fda.gov/Safety/Recalls/ucm590372.htm,
"Fri, 22 Dec 2017 00:00:00 -0500",AuroMedics,Linezolid Injection,Particulate contamination (mold),AuroMedics Pharma,https://www.fda.gov/Safety/Recalls/ucm590446.htm,
"Fri, 22 Dec 2017 00:00:00 -0500","Nodine&#39;s Smokehouse, Inc.","Smoked Salmon 1.5 lbs, 8 oz",Listeria monocytogenes,"Nodine&#39;s Smokehouse, Inc.",https://www.fda.gov/Safety/Recalls/ucm590404.htm,
"Fri, 22 Dec 2017 00:00:00 -0500",HT Traders,Mini Biscotti – Triple Chocolate,Undeclared Almonds and Hazelnuts,Harris Teeter,https://www.fda.gov/Safety/Recalls/ucm590401.htm,
"Fri, 22 Dec 2017 00:00:00 -0500",Michelina’s,Fettuccine Alfredo,Undeclared soy,"Bellisio Foods, Inc.,",https://www.fda.gov/Safety/Recalls/ucm592644.htm,
"Thu, 21 Dec 2017 00:00:00 -0500",Springfield Smoked Fish,Smoked fish products,Listeria monocytogenes,Springfield Smoked Fish,https://www.fda.gov/Safety/Recalls/ucm590252.htm,
"Wed, 20 Dec 2017 00:00:00 -0500",Meijer,Package products containing apple slices,Listeria monocytogenes,Meijer,https://www.fda.gov/Safety/Recalls/ucm590131.htm,
"Tue, 19 Dec 2017 20:02:00 -0500",Springfield Smoked Fish,Smoked fish products,Listeria monocytogenes,Springfield Smoked Fish,https://www.fda.gov/Safety/Recalls/ucm589893.htm,
"Tue, 19 Dec 2017 14:35:00 -0500",Spice Time and Spice Supreme,Beef Flavored Bouillon Cube products,Undeclared Soy and Wheat,"Gel Spice Company, Inc.",https://www.fda.gov/Safety/Recalls/ucm589823.htm,
"Tue, 19 Dec 2017 11:23:00 -0500",Apple Ridge,"Gala, Fuji, Honeycrisp and Golden Delicious apples",Listeria monocytogenes,"Jack Brown Produce, Inc.",https://www.fda.gov/Safety/Recalls/ucm589722.htm,
"Tue, 19 Dec 2017 10:47:00 -0500",AuroMedics Pharma LLC,Pantoprazole Sodium for Injection 40 mg per vial,Contains glass particles,AuroMedics Pharma LLC,https://www.fda.gov/Safety/Recalls/ucm589694.htm,
"Wed, 13 Dec 2017 15:34:00 -0500",Marmex Corp,Male Enhancement,Unapproved new drug,Marmex Corp,https://www.fda.gov/Safety/Recalls/ucm588969.htm,
"Wed, 13 Dec 2017 10:40:00 -0500",Springfield,Pre-sliced Nova Salmon,Listeria monocytogenes,Springfield Smoked Fish,https://www.fda.gov/Safety/Recalls/ucm588864.htm,
"Fri, 08 Dec 2017 20:26:00 -0500",Bibi Frutix,Bibi Frutix candy,Potential chemical contamination,Harvesters,https://www.fda.gov/Safety/Recalls/ucm588386.htm,
"Fri, 08 Dec 2017 10:58:00 -0500",Choceur,Dark Chocolate Bars,Undeclared almond,ALDI,https://www.fda.gov/Safety/Recalls/ucm588236.htm,
"Tue, 05 Dec 2017 00:00:00 -0500",HERB-OX,Beef Flavor Granulated Bouillon,Undeclared Milk,Creative Packaging,https://www.fda.gov/Safety/Recalls/ucm587882.htm,
"Mon, 04 Dec 2017 00:00:00 -0500",Comforts,Comforts FOR BABY Purified Water with Fluoride,Mold (Talaromyces penicillium),Kroger Company,https://www.fda.gov/Safety/Recalls/ucm587618.htm,
"Thu, 30 Nov 2017 11:18:00 -0500","Bull, Chao Jimengnan",Dietary Supplement,Unapproved drug with sildenafil,Nutra Labs Inc.,https://www.fda.gov/Safety/Recalls/ucm587141.htm,
"Thu, 30 Nov 2017 00:00:00 -0500",Pharmacist Choice,Alcohol Prep Pads,Lack of sterility assurance,Simple Diagnostics,https://www.fda.gov/Safety/Recalls/ucm587680.htm,
"Wed, 29 Nov 2017 00:00:00 -0500",N/A,"Dark Chocolate Almonds, Dark Chocolate Cashews, and Dark Chocolate Pecans",Undeclared Milk,"Farrell Farms, Inc.",https://www.fda.gov/Safety/Recalls/ucm587012.htm,
"Tue, 28 Nov 2017 00:00:00 -0500",Plow &amp; Hearth,Chocolate Covered Cashews,Undeclared Peanut,"Virginia Diner, Inc.",https://www.fda.gov/Safety/Recalls/ucm587246.htm,
